# vi: tabstop=20
ている	て	v1	raw	-te-iru
でいる	で	v1	raw	-te-iru
ないで	ない	raw	adj-i	-nai-de
に		raw	n	-ni
する		vs-i|vs-s	vs	-suru
ません	ない	raw	adj-i	polite
りません	らない	raw	adj-i	polite
きません	かない	raw	adj-i	polite
びません	ばない	raw	adj-i	polite
ぬ	ない	raw	adj-i	archaic
ず	ない	raw	adj-i	continuous negative
