# upos1	upos2	upos3	upos4	jpos	mapped	[ent_seq of first appearance]
感動詞	フィラー	*	*	prt	False	2428180
形容詞	非自立可能	*	*	num	False	2747940
名詞	普通名詞	助数詞可能	*	ctr	True	1165000
接頭辞	*	*	*	adv	False	2449460
感動詞	フィラー	*	*	aux-v	False	2654300
感動詞	一般	*	*	aux-v	False	2654300
動詞	非自立可能	*	*	aux-v	False	2654300
名詞	固有名詞	人名	*	n-suf	False	2095180
動詞	一般	*	*	vz	True	1176790
接頭辞	*	*	*	suf	False	2260030	NB: suf in jmdict, prefix in unidic. Who lies?
動詞	一般	*	*	prt	False	2017770
助詞	副助詞	*	*	suf	False	2089060
代名詞	*	*	*	adv-to	True	1188720
代名詞	*	*	*	n-adv	True	1188760
名詞	普通名詞	副詞可能	*	n-t	True	1188960
動詞	一般	*	*	suf	False	1314550
接尾辞	形状詞的	*	*	adj-na	False	2653620
副詞	*	*	*	v5k	False	2108590
名詞	数詞	*	*	adv	False	2744250
形容詞	非自立可能	*	*	adj-pn	False	1518460
名詞	普通名詞	サ変可能	*	adj-f	True	2141900
助動詞	*	*	*	n-adv	False	2585210
形状詞	助動詞語幹	*	*	n	False	1605840
形状詞	助動詞語幹	*	*	prt	False	2654310
名詞	固有名詞	*	*	aux-v	False	2654310
名詞	普通名詞	助数詞可能	*	n-suf	True	2104230
名詞	普通名詞	一般	*	conj	False	1256490
名詞	普通名詞	形状詞可能	*	n-suf	True	2796330
形容詞	一般	*	*	adj-f	True	2524020
感動詞	フィラー	*	*	num	False	2747970
助動詞	*	*	*	adv	False	1466920
接尾辞	名詞的	一般	*	num	False	1280050
形状詞	タリ	*	*	num	False	2145170
接尾辞	名詞的	助数詞	*	num	True	2145170
名詞	固有名詞	一般	*	num	False	2728160
名詞	普通名詞	*	*	cop-da	False	2835284
名詞	固有名詞	*	*	cop-da	False	2835284
動詞	一般	*	*	adj-na	False	1303470
名詞	普通名詞	副詞可能	*	n-suf	False	2273940
動詞	一般	*	*	adv	False	1326630
名詞	普通名詞	一般	*	adv	True	1342310
名詞	普通名詞	形状詞可能	*	adj-t	True	2826849
名詞	固有名詞	人名	*	n-adv	False	1389320
名詞	固有名詞	地名	*	n-adv	False	1389320
接尾辞	動詞的	*	*	aux-v	True	1391130
名詞	普通名詞	副詞可能	*	adj-no	True	1404210
接頭辞	*	*	*	prt	False	2097680
形状詞	一般	*	*	suf	False	2823210
名詞	普通名詞	形状詞可能	*	adj-no	True	1424250
接頭辞	*	*	*	adv-to	False	2414500
名詞	普通名詞	一般	*	num	False	2728160
名詞	固有名詞	人名	*	num	False	2728160
名詞	固有名詞	一般	*	num	False	2728160
名詞	固有名詞	人名	*	adj-no	False	1461580
名詞	固有名詞	地名	*	adj-no	False	1461580
名詞	数詞	*	*	n-adv	True	1461790
動詞	一般	*	*	n	False	1463485
動詞	一般	*	*	n	False	1627960
形容詞	一般	*	*	int	False	2248980
動詞	一般	*	*	pref	False	1484220
形状詞	一般	*	*	adj-no	True	2563970
動詞	一般	*	*	adj-pn	False	1532250
形状詞	*	*	*	n	False	2541720
接頭辞	*	*	*	n-pref	True	1957100
接尾辞	名詞的	一般	*	conj	True	1590370
形状詞	タリ	*	*	adv-to	True	1574420
名詞	普通名詞	形状詞可能	*	adv	True	1574570
名詞	固有名詞	人名	*	int	False	2768550
名詞	固有名詞	地名	*	ctr	False	2833465
形状詞	タリ	*	*	int	False	2835846
副詞	*	*	*	adj-no	True	2076900
動詞	非自立可能	*	*	suf	False	2582570
形状詞	一般	*	*	adv-to	True	1596530
接頭辞	*	*	*	adj-pn	True	1605890
動詞	一般	*	*	adj-no	False	1752900
名詞	固有名詞	人名	*	n-pref	False	2771060
名詞	普通名詞	一般	*	adj-i	False	1789560
動詞	一般	*	*	adj-i	False	1789560
形状詞	タリ	*	*	adv	True	1820070
形容詞	*	*	*	adj-ix	True	2820690
助詞	終助詞	*	*	suf	True	2705890
名詞	固有名詞	人名	*	adj-f	False	2003100
名詞	数詞	*	*	int	False	2003620
形状詞	一般	*	*	pref	False	2811970
接尾辞	名詞的	副詞可能	*	prt	True	2018230
形容詞	非自立可能	*	*	suf	True	2037145
動詞	*	*	*	v4h	True	2055480
名詞	普通名詞	形状詞可能	*	n-adv	True	2063340
形容詞	一般	*	*	v5r	False	2068640
名詞	普通名詞	*	*	aux-v	False	2089610
動詞	一般	*	*	aux-v	True	2089610
接尾辞	名詞的	一般	*	int	False	2097670
動詞	一般	*	*	adj-f	True	2101560
副詞	*	*	*	adj-f	True	2104980
感動詞	一般	*	*	conj	True	2113470
助動詞	*	*	*	adj-f	True	2130370
形容詞	一般	*	*	adj-no	True	2133230
名詞	固有名詞	人名	*	prt	False	2133450
助詞	格助詞	*	*	n-pref	False	2759530
助動詞	*	*	*	n-pref	False	2759530
助詞	準体助詞	*	*	n-pref	False	2759530
助詞	終助詞	*	*	n-pref	False	2759530
名詞	数詞	*	*	n-pref	True	2759530
記号	一般	*	*	n	True	2173760
名詞	普通名詞	サ変可能	*	suf	True	2182600
形容詞	非自立可能	*	*	int	True	2255590
名詞	固有名詞	人名	*	vs	False	2259910
動詞	一般	*	*	vs-c	True	2410640
感動詞	一般	*	*	suf	True	2410730
記号	文字	*	*	adj-f	False	2430790
名詞	固有名詞	一般	*	adj-f	True	2433490
動詞	一般	*	*	vk	True	2535670
名詞	普通名詞	サ変形状詞可能	*	adv-to	True	2615170
形状詞	一般	*	*	adj-i	True	2708710
名詞	固有名詞	地名	*	int	False	2739960
名詞	普通名詞	サ変可能	*	adj-no	True	2782370
名詞	普通名詞	一般	*	adj-pn	True	2818320
動詞	一般	*	*	v4k	True	2827117
名詞	固有名詞	人名	*	conj	False	2830057
動詞	一般	*	*	vt	True	2831651
動詞	一般	*	*	vi	True	2832525
感動詞	一般	*	*	pref	True	2832857
動詞	一般	*	*	n-pref	False	2834428
形状詞	一般	*	*	int	True	2834510
名詞	固有名詞	地名	*	n-pref	False	2835482
名詞	普通名詞	*	*	int	False	2835939
助動詞	*	*	*	prt	True	2837545
接尾辞	動詞的	*	*	prt	False	2085890
補助記号	一般	*	*	aux-v	False	2654300
